  , H                     , Zn                    , Zn(OH)2(aq)           , Zn(OH)3-              , Zn(OH)4--             , ZnOH+                 , Zn++                  , Na+               , NO3-              , Fe+++                 , Fe++                  , O2(aq)            , H_sorbed             , Zn_sorbed
20, 1.7782794100389227e-07, 3.981071705534969e-07 , 4.338362518268199e-12 , 9.908925393139992e-17 , 2.0780671373469104e-22, 2.3909170741591363e-10, 7.502656467587164e-08 , 0.0999997157934264, 0.1000000031975435, 1.4503720740755556e-14, 9.233324610131448e-16 , 0.0002464700284369, 3.24238832766016e-05 , 3.22837193322648e-07
21, 1e-07                 , 3.981071705534969e-07 , 5.6431995434223686e-12, 2.293968954328971e-16 , 8.562133032773276e-22 , 1.7474416532629703e-10, 3.0810009953127916e-08, 0.0999999549043071, 0.1000000031975435, 2.5727361138323478e-15, 2.9149782039862123e-16, 0.0002464700284368, 2.4285841809331e-05  , 3.67116780909018e-07
22, 5.6234132519034905e-08, 3.981071705534969e-07 , 6.705303104589991e-12 , 4.852233457294474e-16 , 3.2240170561746146e-21, 1.1663653874343592e-10, 1.1552147908065126e-08, 0.1000001489477565, 0.1000000031975435, 4.560496040273292e-16 , 9.198419168106751e-17 , 0.0002464700284366, 1.71409936200621e-05 , 3.86431683736233e-07
23, 3.162277660168379e-08 , 3.981071705534969e-07 , 7.640060511706795e-12 , 9.844407712328998e-16 , 1.1647021743994656e-20, 7.463519127668257e-11 , 4.151475451983342e-09 , 0.1000003770343769, 0.1000000031975435, 8.078004716881055e-17 , 2.901178990677428e-17 , 0.0002464700284365, 1.07551515925428e-05 , 3.93873420451297e-07
24, 1.7782794100389228e-08, 3.981071705534969e-07 , 8.547788976141708e-12 , 1.9615564934392325e-15, 4.133144528661246e-20 , 4.6886380618313466e-11, 1.4643730070368934e-09, 0.1000007259661795, 0.1000000031975435, 1.430021161049604e-17 , 9.146748340512197e-18 , 0.0002464700284364, 4.88420595026226e-06 , 3.96587362293939e-07
25, 1e-08                 , 3.981071705534969e-07 , 9.501474465389992e-12 , 3.883360697411922e-15 , 1.4573290891611246e-19, 2.926272478356384e-11 , 5.13157663426282e-10  , 0.1000013186538293, 0.1000000031975435, 2.531251418728714e-18 , 2.8835570498766e-18   , 0.0002464700284364, -7.2383067757353e-07 , 3.97555245419454e-07
26, 9.999999999999999e-06 , 1.584893192461114e-06 , 2.874234217880045e-14 , 1.1649106277528738e-20, 4.335073560631297e-28 , 8.926731570196413e-11 , 1.5786113022503412e-06, 0.0999848402237498, 0.1000000031975435, 2.595823345867569e-09 , 2.9323901209288996e-12, 0.0002464700291695, 0.0001271786346556   , 6.192884572707171e-09
27, 5.623413251903491e-06 , 1.584893192461114e-06 , 9.020952761999377e-14 , 6.499423914383788e-20 , 4.299626205550779e-27 , 1.576052529862099e-10 , 1.5678386479028509e-06, 0.0999901181889221, 0.1000000031975435, 4.6208193699074814e-10, 9.279352174853756e-13 , 0.0002464700286683, 0.0001095412359318   , 1.68971376870198e-08
28, 3.162277660168379e-06 , 1.584893192461114e-06 , 2.801338456997582e-13 , 3.589304590790847e-19 , 4.2226821917854617e-26, 2.752083139738388e-10 , 1.539465281006604e-06 , 0.0999931327703172, 0.1000000031975435, 8.215841093301308e-11 , 2.93408722970435e-13  , 0.0002464700285096, 9.30330106894355e-05 , 4.51527067565743e-08
29, 1.7782794100389227e-06, 1.584893192461114e-06 , 8.455143590900605e-13 , 1.9270710189103524e-18, 4.032809878604301e-25 , 4.669655943760702e-10 , 1.4684566659445354e-06, 0.0999949418080567, 0.1000000031975435, 1.4596736925321197e-11, 9.272756651132905e-14 , 0.0002464700284593, 7.78934299140086e-05 , 1.15968986976791e-07
