sim,specified_pH,input_Zn_mol_L,time_days,pH,TOT-H+,TOT-Zn++,TOT-Na+,TOT-NO3-,TOT-Fe+++,TOT-O2(aq),SURF-H+,SURF-Zn++,SURF-Na+,SURF-NO3-,SURF-Fe+++,SURF-O2(aq),H+,Zn++,Na+,NO3-,Fe+++,O2(aq),Fe++,OH-,Zn(OH)2(aq),Zn(OH)3-,Zn(OH)4--,ZnOH+,>FeOH_str,>FeOH_weak,>FeO-_str,>FeOH2+_str,>FeOHZn+_str,>FeO-_w,>FeOH2+_w,>FeOHZn+_w
ph6p75_zn3p98107171e-07,6.75,3.981071705534969e-07,365.0,6.74728455745481,1.40370874313062e-07,7.52699776773539e-08,0.099999712595887,0.1,1.54270463400974e-14,0.000246470000000254,3.24238832766016e-05,3.22837193322648e-07,0.0,0.0,0.0,0.0,2.1486089944763374e-07,7.502656467587164e-08,0.09999971579342647,0.10000000319754354,1.4503720740755556e-14,0.00024647002843694495,9.233324610131448e-16,7.424222667290351e-08,4.3383625182682e-12,9.908925393139993e-17,2.0780671373469104e-22,2.3909170741591363e-10,3.93145025874942e-06,0.000166349453200006,3.26945873065593e-07,1.08300307073556e-06,3.09140236527064e-07,1.38338942721904e-05,4.58245575444447e-05,1.36969567955846e-08
ph7p00_zn3p98107171e-07,7.0,3.981071705534969e-07,365.0,6.99764596111207,-1.15947052284891e-08,3.09903900909791e-08,0.0999999517067647,0.1,2.86423258922522e-15,0.000246470000000291,2.4285841809331e-05,3.67116780909018e-07,0.0,0.0,0.0,0.0,1.2072465919016956e-07,3.081000995312791e-08,0.09999995490430712,0.10000000319754354,2.572736113832348e-15,0.0002464700284368202,2.9149782039862123e-16,1.3213333529118444e-07,5.643199543422369e-12,2.293968954328971e-16,8.562133032773276e-22,1.7474416532629703e-10,3.97098034801329e-06,0.000169361235478944,3.81673048336964e-07,9.46463694066247e-07,3.5142234861298e-07,1.62782520578796e-05,4.03664200023904e-05,1.56944322960379e-08
ph7p25_zn3p98107171e-07,7.25,3.981071705534969e-07,365.0,7.24810706734126,-1.67533204631916e-07,1.16754872637654e-08,0.10000014575021,0.1,5.48033524833769e-16,0.000246470000000131,1.71409936200621e-05,3.86431683736233e-07,0.0,0.0,0.0,0.0,6.781642571468921e-08,1.1552147908065126e-08,0.10000014894775658,0.10000000319754354,4.560496040273292e-16,0.00024647002843661026,9.198419168106753e-17,2.352196160056637e-07,6.705303104589991e-12,4.852233457294473e-16,3.2240170561746146e-21,1.1663653874343592e-10,4.00420796545189e-06,0.000171373877323011,4.38145674915527e-07,8.38329403229523e-07,3.69856395512389e-07,1.87519538939928e-05,3.58791954694771e-05,1.65752882238443e-08
ph7p50_zn3p98107171e-07,7.5,3.981071705534969e-07,365.0,7.49867650582407,-3.80838906175016e-07,4.23375054869619e-09,0.100000373836826,0.1,1.09791780167346e-16,0.000246470000000048,1.07551515925428e-05,3.93873420451297e-07,0.0,0.0,0.0,0.0,3.808601101953928e-08,4.151475451983342e-09,0.10000037703437692,0.10000000319754354,8.078004716881055e-17,0.00024647002843651377,2.9011789906774273e-17,4.188350753105664e-07,7.640060511706795e-12,9.844407712328998e-16,1.1647021743994656e-20,7.463519127668257e-11,4.02802931845983e-06,0.000172625258604397,4.9566703134184e-07,7.49885903644897e-07,3.76957185665562e-07,2.12423104974712e-05,3.21371166381623e-05,1.69162347857347e-08
ph7p75_zn3p98107171e-07,7.75,3.981071705534969e-07,365.0,7.74933059075875,-7.24607335076385e-07,1.51980870605863e-09,0.100000722768623,0.1,2.34469472653598e-17,0.000246470000000014,4.88420595026226e-06,3.96587362293939e-07,0.0,0.0,0.0,0.0,2.1385108619535462e-08,1.4643730070368936e-09,0.10000072596617954,0.10000000319754354,1.430021161049604e-17,0.0002464700284364739,9.146748340512197e-18,7.459285967649376e-07,8.547788976141708e-12,1.9615564934392325e-15,4.133144528661246e-20,4.6886380618313466e-11,4.04163495130981e-06,0.000173293335082487,5.54501773633393e-07,6.74856145015246e-07,3.7954656917373e-07,2.37753935794182e-05,2.89358325205926e-05,1.7040793120209e-08
ph8p00_zn3p98107171e-07,8.0,3.981071705534969e-07,365.0,8.00000001898406,-1.3165572017984e-06,5.51925580544663e-10,0.100001315456262,0.1,5.41480542712282e-18,0.000246470000000004,-7.2383067757353e-07,3.97555245419454e-07,0.0,0.0,0.0,0.0,1.2007210760645417e-08,5.13157663426282e-10,0.10000131865382934,0.10000000319754354,2.531251418728714e-18,0.0002464700284364626,2.8835570498765997e-18,1.3285163818460568e-06,9.501474465389992e-12,3.883360697411922e-15,1.4573290891611243e-19,2.926272478356384e-11,4.04544203911812e-06,0.000173486931053003,6.16031128824381e-07,6.08596268879044e-07,3.80470002381197e-07,2.64182131273043e-05,2.60993725550955e-05,1.70852430382569e-08
ph5p00_zn1p58489319e-06,5.0,1.584893192461114e-06,365.0,4.99635360085259,1.21070399342853e-05,1.5787003054273e-06,0.0999848370264796,0.1,2.5987550222699e-09,0.000246469999999952,0.000127178634655667,6.19288457270717e-09,0.0,0.0,0.0,0.0,1.2108451503746798e-05,1.5786113022503412e-06,0.0999848402237498,0.10000000319754354,2.5958233458675695e-09,0.00024647002916950876,2.9323901209289e-12,1.3174089793959238e-09,2.8742342178800455e-14,1.1649106277528738e-20,4.335073560631297e-28,8.926731570196414e-11,2.45764086256957e-06,9.84090512093426e-05,4.40255025200781e-08,3.14291397470405e-06,5.94367119020336e-09,1.76287267941995e-06,0.000125848811747476,2.49213382503805e-10
ph5p25_zn1p58489319e-06,5.25,1.584893192461114e-06,365.0,5.24620562272323,6.80890126253802e-06,1.56799605231298e-06,0.0999901149915583,0.1,4.63009733919919e-10,0.000246469999999918,0.000109541235931844,1.68971376870198e-08,0.0,0.0,0.0,0.0,6.811403023830645e-06,1.5678386479028507e-06,0.09999011818892213,0.10000000319754354,4.6208193699074814e-10,0.00024647002866836205,9.279352174853756e-13,2.3419230727643176e-09,9.020952761999375e-14,6.499423914383788e-20,4.299626205550779e-27,1.576052529862099e-10,2.83487160171764e-06,0.000113720892131255,6.73870115884812e-08,2.73206210148993e-06,1.62159764459305e-08,2.7032303939363e-06,0.000109596688373566,6.81161241089307e-10
ph5p50_zn1p58489319e-06,5.5,1.584893192461114e-06,365.0,5.49622791728493,3.82569518288417e-06,1.53974048324342e-06,0.0999931295728974,0.1,8.24517930436894e-11,0.000246469999999862,9.30330106894355e-05,4.51527067565743e-08,0.0,0.0,0.0,0.0,3.830136714291897e-06,1.5394652810066039e-06,0.09999313277031727,0.10000000319754354,8.215841093301308e-11,0.0002464700285096724,2.93408722970435e-13,4.164807221475614e-09,2.801338456997582e-13,3.589304590790847e-19,4.222682191785462e-26,2.752083139738388e-10,3.15941167373714e-06,0.000127351896327759,9.72856801746704e-08,2.35051753061124e-06,4.33240661210856e-08,3.92146296097206e-06,9.47463945067275e-05,1.82864063548867e-09
ph5p75_zn1p58489319e-06,5.75,1.584893192461114e-06,365.0,5.74635995333601,2.14531178977366e-06,1.46892420302321e-06,0.0999949386106052,0.1,1.46894593957479e-11,0.000246469999999715,7.78934299140086e-05,1.15968986976791e-07,0.0,0.0,0.0,0.0,2.153189369658639e-06,1.4684566659445354e-06,0.09999494180805678,0.10000000319754354,1.45967369253212e-11,0.0002464700284593564,9.272756651132905e-14,7.408442431952635e-09,8.455143590900605e-13,1.9270710189103524e-18,4.032809878604301e-25,4.669655943760702e-10,3.40712437061169e-06,0.000139018364836444,1.33022491417391e-07,1.99917528217132e-06,1.11217209005487e-07,5.42761790695963e-06,8.15708640171911e-05,4.75177797130367e-09
